patch,championId,championName,games,wins,win_rate,pick_rate,ban_rate,cluster,tier
15.1,89,Leona,10,3,30.0,37.037,3.704,1,C
15.1,21,MissFortune,9,5,55.56,33.333,14.815,1,C
15.1,51,Caitlyn,6,0,0.0,22.222,29.63,1,C
15.1,35,Shaco,6,2,33.33,22.222,37.037,1,C
15.1,39,Irelia,5,2,40.0,18.519,22.222,1,C
15.1,222,Jinx,5,4,80.0,18.519,14.815,1,C
15.1,99,Lux,5,3,60.0,18.519,37.037,1,C
15.1,25,Morgana,5,2,40.0,18.519,25.926,1,C
15.1,111,Nautilus,5,3,60.0,18.519,11.111,1,C
15.1,84,Akali,4,3,75.0,14.815,0.0,2,B
15.1,32,Amumu,4,2,50.0,14.815,7.407,1,C
15.1,31,Chogath,4,1,25.0,14.815,0.0,2,B
15.1,28,Evelynn,4,2,50.0,14.815,3.704,1,C
15.1,50,Swain,4,3,75.0,14.815,14.815,1,C
15.1,223,TahmKench,4,3,75.0,14.815,25.926,1,C
15.1,19,Warwick,4,3,75.0,14.815,48.148,1,C
15.1,777,Yone,4,2,50.0,14.815,3.704,1,C
15.1,83,Yorick,4,3,75.0,14.815,18.519,1,C
15.1,143,Zyra,4,1,25.0,14.815,14.815,1,C
15.1,523,Aphelios,3,2,66.67,11.111,0.0,2,B
15.1,200,Belveth,3,3,100.0,11.111,11.111,0,A
15.1,131,Diana,3,2,66.67,11.111,14.815,1,C
15.1,245,Ekko,3,0,0.0,11.111,0.0,2,B
15.1,86,Garen,3,1,33.33,11.111,3.704,1,C
15.1,120,Hecarim,3,1,33.33,11.111,0.0,2,B
15.1,59,JarvanIV,3,1,33.33,11.111,7.407,1,C
15.1,24,Jax,3,1,33.33,11.111,0.0,2,B
15.1,202,Jhin,3,3,100.0,11.111,0.0,2,B
15.1,43,Karma,3,1,33.33,11.111,0.0,2,B
15.1,141,Kayn,3,3,100.0,11.111,11.111,0,A
15.1,90,Malzahar,3,1,33.33,11.111,7.407,1,C
15.1,62,MonkeyKing,3,2,66.67,11.111,14.815,1,C
15.1,82,Mordekaiser,3,0,0.0,11.111,25.926,1,C
15.1,267,Nami,3,2,66.67,11.111,3.704,1,C
15.1,360,Samira,3,2,66.67,11.111,3.704,1,C
15.1,27,Singed,3,1,33.33,11.111,7.407,1,C
15.1,14,Sion,3,1,33.33,11.111,0.0,2,B
15.1,37,Sona,3,0,0.0,11.111,0.0,2,B
15.1,17,Teemo,3,2,66.67,11.111,14.815,1,C
15.1,110,Varus,3,2,66.67,11.111,0.0,2,B
15.1,112,Viktor,3,1,33.33,11.111,18.519,1,C
15.1,101,Xerath,3,3,100.0,11.111,0.0,2,B
15.1,157,Yasuo,3,0,0.0,11.111,7.407,1,C
15.1,22,Ashe,2,1,50.0,7.407,3.704,0,A
15.1,136,AurelionSol,2,1,50.0,7.407,0.0,2,B
15.1,893,Aurora,2,1,50.0,7.407,14.815,0,A
15.1,233,Briar,2,1,50.0,7.407,18.519,0,A
15.1,164,Camille,2,0,0.0,7.407,0.0,3,D
15.1,42,Corki,2,1,50.0,7.407,3.704,0,A
15.1,122,Darius,2,1,50.0,7.407,18.519,0,A
15.1,36,DrMundo,2,2,100.0,7.407,11.111,0,A
15.1,60,Elise,2,0,0.0,7.407,0.0,3,D
15.1,81,Ezreal,2,1,50.0,7.407,0.0,2,B
15.1,114,Fiora,2,2,100.0,7.407,0.0,4,S
15.1,105,Fizz,2,0,0.0,7.407,18.519,3,D
15.1,3,Galio,2,2,100.0,7.407,18.519,0,A
15.1,887,Gwen,2,2,100.0,7.407,0.0,4,S
15.1,55,Katarina,2,1,50.0,7.407,7.407,0,A
15.1,121,Khazix,2,1,50.0,7.407,0.0,2,B
15.1,876,Lillia,2,1,50.0,7.407,3.704,0,A
15.1,236,Lucian,2,2,100.0,7.407,0.0,4,S
15.1,518,Neeko,2,1,50.0,7.407,0.0,2,B
15.1,20,Nunu,2,1,50.0,7.407,3.704,0,A
15.1,61,Orianna,2,1,50.0,7.407,0.0,2,B
15.1,555,Pyke,2,2,100.0,7.407,3.704,0,A
15.1,235,Senna,2,1,50.0,7.407,7.407,0,A
